都道府県名,駅名,路線名
"岩手県","新月","JR大船渡線"
"岩手県","種市","JR八戸線"
"岩手県","田山","JR花輪線"
"岩手県","田老","三陸鉄道リアス線"
"岩手県","東大更","JR花輪線"
"岩手県","新田老","三陸鉄道リアス線"
"岩手県","野田玉川","三陸鉄道リアス線"
"岩手県","箱石","JR山田線"
"岩手県","甫嶺","三陸鉄道リアス線"
"岩手県","花原市","JR山田線"
"岩手県","腹帯","JR山田線"
"岩手県","蟇目","JR山田線"
"岩手県","平内","JR八戸線"
"岩手県","平田","三陸鉄道リアス線"
"岩手県","摂待","三陸鉄道リアス線"
"岩手県","宿戸","JR八戸線"
"岩手県","堀内","三陸鉄道リアス線"
"岩手県","松草","JR山田線"
"岩手県","松倉","JR釜石線"
"岩手県","矢越","JR大船渡線"
"岩手県","柳原","JR北上線"
"岩手県","ゆだ高原","JR北上線"
"岩手県","ゆだ錦秋湖","JR北上線"
"岩手県","横間","JR花輪線"
"岩手県","吉浜","三陸鉄道リアス線"
"岩手県","陸中八木","JR八戸線"
"岩手県","陸中大橋","JR釜石線"
"岩手県","陸中川井","JR山田線"
"岩手県","陸中松川","JR大船渡線"
"岩手県","陸前矢作","JR大船渡BRT線"
"岩手県","和賀仙人","JR北上線"
"宮城県","旭ヶ丘","仙台市南北線"
"宮城県","愛宕","JR東北本線"
"宮城県","あぶくま","阿武隈急行"
"宮城県","有壁","JR東北本線"
"宮城県","上野目","JR陸羽東線"
"宮城県","陸前白沢","JR仙山線"
"宮城県","梅ヶ沢","JR東北本線"
"宮城県","卸町","仙台市東西線"
"宮城県","鹿妻","JR仙石線"
"宮城県","上鹿折","JR大船渡BRT線"
"宮城県","唐桑大沢","JR大船渡BRT線"
"宮城県","川渡温泉","JR陸羽東線"
"宮城県","北丸森","阿武隈急行"
"宮城県","葛岡","JR仙山線"
"宮城県","熊ヶ根","JR仙山線"
"宮城県","蔵内","JR気仙沼BRT線"
"宮城県","国際センター","仙台市東西線"
"宮城県","品井沼","JR東北本線"
"宮城県","清水浜","JR気仙沼BRT線"
"宮城県","瀬峰","JR東北本線"
"宮城県","仙台空港","仙台空港鉄道"
"宮城県","館腰","JR東北本線"
"宮城県","手樽","JR仙石線"
"宮城県","東北福祉大前","JR仙山線"
"宮城県","鳴子温泉","JR陸羽東線"
"宮城県","鳴子御殿湯","JR陸羽東線"
"宮城県","東船岡","阿武隈急行"
"宮城県","松山町","JR東北本線"
"宮城県","南三陸町役場・病院前","JR気仙沼BRT線"
"宮城県","薬師堂","仙台市東西線"
"宮城県","山下","JR常磐線"
"宮城県","有備館","JR陸羽東線"
"宮城県","横倉","阿武隈急行"
"宮城県","陸前小泉","JR気仙沼BRT線"
"宮城県","陸前港","JR気仙沼BRT線"
"宮城県","陸前富山","JR仙石線"
"宮城県","陸前横山","JR気仙沼BRT線"
"秋田県","相野々","JR北上線"
"秋田県","荒瀬","秋田内陸縦貫鉄道"
"秋田県","生田","JR田沢湖線"
"秋田県","岩野目","秋田内陸縦貫鉄道"
"秋田県","上桧木内","秋田内陸縦貫鉄道"
"秋田県","羽後長戸呂","秋田内陸縦貫鉄道"
"秋田県","大久保","JR奥羽本線"
"秋田県","大野台","秋田内陸縦貫鉄道"
"秋田県","笑内","秋田内陸縦貫鉄道"
"秋田県","奥阿仁","秋田内陸縦貫鉄道"
"秋田県","折渡","JR羽越本線"
"秋田県","角館","JR田沢湖線 / 秋田新幹線 / 秋田内陸縦貫鉄道"
"秋田県","羽後亀田","JR羽越本線"
"秋田県","鹿角花輪","JR花輪線"
"秋田県","神代","JR田沢湖線"
"秋田県","萱草","秋田内陸縦貫鉄道"
"秋田県","久保田","由利高原鉄道鳥海山ろく線"
"秋田県","黒沢","JR北上線 / 由利高原鉄道鳥海山ろく線"
"秋田県","後三年","JR奥羽本線"
"秋田県","小渕","秋田内陸縦貫鉄道"
"秋田県","小松川","JR北上線"
"秋田県","刺巻","JR田沢湖線"
"秋田県","下浜","JR羽越本線"
"秋田県","縄文小ヶ田","秋田内陸縦貫鉄道"
"秋田県","陣場","JR奥羽本線"
"秋田県","鑓見内","JR田沢湖線"
"秋田県","滝ノ間","JR五能線"
"秋田県","鶴形","JR奥羽本線"
"秋田県","出戸浜","JR男鹿線"
"秋田県","戸沢","秋田内陸縦貫鉄道"
"秋田県","土深井","JR花輪線"
"秋田県","羽後中里","秋田内陸縦貫鉄道"
"秋田県","八幡平","JR花輪線"
"秋田県","八津","秋田内陸縦貫鉄道"
"秋田県","糠沢","JR奥羽本線"
"秋田県","東八森","JR五能線"
"秋田県","左通","秋田内陸縦貫鉄道"
"秋田県","二ツ井","JR奥羽本線"
"秋田県","三関","JR奥羽本線"
"秋田県","八森","JR五能線"
"秋田県","湯瀬温泉","JR花輪線"
"秋田県","吉沢","由利高原鉄道鳥海山ろく線"
"秋田県","象潟","JR羽越本線"
"秋田県","陸中大里","JR花輪線"
"山形県","赤倉温泉","JR陸羽東線"
"山形県","芦沢","JR奥羽本線"
"山形県","あやめ公園","山形鉄道フラワー長井線"
"山形県","伊佐領","JR米坂線"
"山形県","板谷","JR奥羽本線"
"山形県","犬川","JR米坂線"
"山形県","今泉","JR米坂線 / 山形鉄道フラワー長井線"
"山形県","鵜杉","JR陸羽東線"
"山形県","羽前前波","JR陸羽西線"
"山形県","羽前椿","JR米坂線"
"山形県","大滝","JR奥羽本線"
"山形県","羽前水沢","JR羽越本線"
"山形県","面白山高原","JR仙山線"
"山形県","釜淵","JR奥羽本線"
"山形県","清川","JR陸羽西線"
"山形県","蚕桑","山形鉄道フラワー長井線"
"山形県","古口","JR陸羽西線"
"山形県","小波渡","JR羽越本線"
"山形県","堺田","JR陸羽東線"
"山形県","四季の郷","山形鉄道フラワー長井線"
"山形県","白兎","山形鉄道フラワー長井線"
"山形県","瀬見温泉","JR陸羽東線"
"山形県","袖崎","JR奥羽本線"
"山形県","高瀬","JR仙山線"
"山形県","高屋","JR陸羽西線"
"山形県","羽前中山","JR奥羽本線"
"山形県","立小路","JR陸羽東線"
"山形県","津谷","JR陸羽西線"
"山形県","手ノ子","JR米坂線"
"山形県","峠","JR奥羽本線"
"山形県","西袋","JR羽越本線"
"山形県","及位","JR奥羽本線"
"山形県","羽前沼沢","JR米坂線"
"山形県","羽前長崎","JR左沢線"
"山形県","東酒田","JR羽越本線"
"山形県","南新庄","JR陸羽東線"
"山形県","南鳥海","JR羽越本線"
"山形県","南長井","山形鉄道フラワー長井線"
"山形県","南野","JR陸羽西線"
"山形県","女鹿","JR羽越本線"
"山形県","本楯","JR羽越本線"
"山形県","梨郷","山形鉄道フラワー長井線"
"福島県","会津越川","JR只見線"
"福島県","会津蒲生","JR只見線"
"福島県","会津川口","JR只見線"
"福島県","会津坂本","JR只見線"
"福島県","会津塩沢","JR只見線"
"福島県","会津水沼","JR只見線"
"福島県","会津桧原","JR只見線"
"福島県","会津横田","JR只見線"
"福島県","会津大塩","JR只見線"
"福島県","会津高原尾瀬口","会津鉄道会津線 / 野岩鉄道会津鬼怒川線"
"福島県","猪苗代湖畔","JR磐越西線"
"福島県","芦ノ牧温泉南","会津鉄道会津線"
"福島県","あまや","会津鉄道会津線"
"福島県","磐城石川","JR水郡線"
"福島県","上戸","JR磐越西線"
"福島県","江田","JR磐越東線"
"福島県","大泉","阿武隈急行"
"福島県","大川ダム公園","会津鉄道会津線"
"福島県","兜","阿武隈急行"
"福島県","川前","JR磐越東線"
"福島県","郷戸","JR只見線"
"福島県","末続","JR常磐線"
"福島県","滝谷","JR只見線"
"福島県","徳沢","JR磐越西線"
"福島県","中山宿","JR磐越西線"
"福島県","夏井","JR磐越東線"
"福島県","新田","阿武隈急行"
"福島県","野沢","JR磐越西線"
"福島県","梁川","阿武隈急行"
"福島県","日立木","JR常磐線"
"福島県","双葉","JR常磐線"
"福島県","里白石","JR水郡線"
"福島県","平野","福島交通飯坂線"
"福島県","矢祭山","JR水郡線"
"福島県","山都","JR磐越西線"
"福島県","湯野上温泉","会津鉄道会津線"
"福島県","養鱒公園","会津鉄道会津線"
"茨城県","北浦湖畔","鹿島臨海鉄道線"
"茨城県","阿字ヶ浦","ひたちなか海浜鉄道湊線"
"茨城県","岩間","JR常磐線"
"茨城県","大洋","鹿島臨海鉄道線"
"茨城県","大田郷","関東鉄道常総線"
"茨城県","鹿島旭","鹿島臨海鉄道線"
"茨城県","鹿島灘","鹿島臨海鉄道線"
"茨城県","黒子","関東鉄道常総線"
"茨城県","工機前","ひたちなか海浜鉄道湊線"
"茨城県","宍戸","JR水戸線"
"茨城県","下館二高前","真岡鐵道"
"茨城県","下館","JR水戸線 / 真岡鐵道 / 関東鉄道常総線"
"茨城県","下野宮","JR水郡線"
"茨城県","新守谷","関東鉄道常総線"
"茨城県","筑波山頂","筑波山鋼索鉄道線"
"茨城県","騰波ノ江","関東鉄道常総線"
"茨城県","羽黒","JR水戸線"
"茨城県","涸沼","鹿島臨海鉄道線"
"茨城県","ひぐち","真岡鐵道"
"茨城県","常陸大子","JR水郡線"
"茨城県","福原","JR水戸線"
"茨城県","南酒出","JR水郡線"
"茨城県","みらい平","つくばエクスプレス線"
"茨城県","美乃浜学園","ひたちなか海浜鉄道湊線"
"栃木県","足尾","わたらせ渓谷鐵道線"
"栃木県","あしかがフラワーパーク","JR両毛線"
"栃木県","板荷","東武日光線"
"栃木県","大桑","東武鬼怒川線"
"栃木県","男鹿高原","野岩鉄道会津鬼怒川線"
"栃木県","北真岡","真岡鐵道"
"栃木県","北山","真岡鐵道"
"栃木県","黒田原","JR東北本線"
"栃木県","小塙","JR烏山線"
"栃木県","自治医大","JR宇都宮線"
"栃木県","下野花岡","JR烏山線"
"栃木県","大金","JR烏山線"
"栃木県","寺内","真岡鐵道"
"栃木県","天矢場","真岡鐵道"
"栃木県","東武和泉","東武伊勢崎線"
"栃木県","間藤","わたらせ渓谷鐵道線"
"栃木県","仁井田","JR烏山線"
"栃木県","西那須野","JR宇都宮線"
"栃木県","野州山辺","東武伊勢崎線"
"栃木県","山前","JR両毛線"
"群馬県","新屋","上毛電鉄上毛線"
"群馬県","板倉東洋大前","東武日光線"
"群馬県","岩島","JR吾妻線"
"群馬県","運動公園","わたらせ渓谷鐵道線"
"群馬県","金島","JR吾妻線"
"群馬県","治良門橋","東武桐生線"
"群馬県","川原湯温泉","JR吾妻線"
"群馬県","群馬大津","JR吾妻線"
"群馬県","群馬原町","JR吾妻線"
"群馬県","郷原","JR吾妻線"
"群馬県","小中","わたらせ渓谷鐵道線"
"群馬県","小野上温泉","JR吾妻線"
"群馬県","小野上","JR吾妻線"
"群馬県","神戸","わたらせ渓谷鐵道線"
"群馬県","境町","東武伊勢崎線"
"群馬県","沢入","わたらせ渓谷鐵道線"
"群馬県","上毛高原","上越新幹線"
"群馬県","新伊勢崎","東武伊勢崎線"
"群馬県","新川","上毛電鉄上毛線"
"群馬県","水上","JR上越線"
"群馬県","剛志","東武伊勢崎線"
"群馬県","土合","JR上越線"
"群馬県","本中野","東武小泉線"
"群馬県","長野原草津口","JR吾妻線"
"群馬県","成島","東武小泉線"
"群馬県","羽根尾","JR吾妻線"
"群馬県","東新川","上毛電鉄上毛線"
"群馬県","袋倉","JR吾妻線"
"群馬県","万座・鹿沢口","JR吾妻線"
"群馬県","水沼","わたらせ渓谷鐵道線"
"群馬県","三枚橋","東武桐生線"
"群馬県","矢倉","JR吾妻線"
"群馬県","湯檜曽","JR上越線"
"群馬県","竜舞","東武小泉線"
"群馬県","韮川","東武伊勢崎線"
"群馬県","渡瀬","東武佐野線"
"埼玉県","石原","秩父本線"
"埼玉県","一本松","東武越生線"
"埼玉県","大和田","東武野田線"
"埼玉県","芦ヶ久保","西武秩父線"
"埼玉県","新郷","秩父本線"
"埼玉県","森林公園","東武東上本線"
"埼玉県","永田","秩父本線"
"埼玉県","日進","JR川越線"
"埼玉県","南桜井","東武野田線"
"千葉県","青堀","JR内房線"
"千葉県","愛宕","東武野田線"
"千葉県","安房鴨川","JR内房線 / JR外房線"
"千葉県","安房小湊","JR外房線"
"千葉県","井野","山万ユーカリが丘線"
"千葉県","印旛日本医大","京成成田空港線 / 北総鉄道"
"千葉県","大町","北総鉄道"
"千葉県","上総一ノ宮","JR外房線"
"千葉県","上総松丘","JR久留里線"
"千葉県","上総東","いすみ鉄道"
"千葉県","鎌ヶ谷大仏","京成松戸線"
"千葉県","鎌ヶ谷","東武野田線"
"千葉県","上総亀山","JR久留里線"
"千葉県","空港第2ビル","JR成田線 / 京成本線 / 京成成田空港線"
"千葉県","国吉","いすみ鉄道"
"千葉県","県庁前","千葉都市モノレール1号線"
"千葉県","上総湊","JR内房線"
"千葉県","小谷松","いすみ鉄道"
"千葉県","下総神崎","JR成田線"
"千葉県","市役所前","千葉都市モノレール1号線"
"千葉県","十二橋","JR鹿島線"
"千葉県","小櫃","JR久留里線"
"千葉県","城見ヶ丘","いすみ鉄道"
"千葉県","新浦安","JR京葉線"
"千葉県","水郷","JR成田線"
"千葉県","太東","JR外房線"
"千葉県","高根公団","京成松戸線"
"千葉県","滝不動","京成松戸線"
"千葉県","東京ディズニーシー・ステーション","ディズニーリゾートライン"
"千葉県","東京ディズニーランド・ステーション","ディズニーリゾートライン"
"千葉県","長者町","JR外房線"
"千葉県","浪花","JR外房線"
"千葉県","西畑","いすみ鉄道"
"千葉県","二和向台","京成松戸線"
"千葉県","東総元","いすみ鉄道"
"千葉県","平山","JR久留里線"
"千葉県","総元","いすみ鉄道"
"千葉県","船橋日大前","東葉高速鉄道"
"千葉県","ベイサイド・ステーション","ディズニーリゾートライン"
"千葉県","北習志野","京成松戸線 / 東葉高速鉄道"
"千葉県","八積","JR外房線"
"千葉県","リゾートゲートウェイ・ステーション","ディズニーリゾートライン"
"東京都","赤坂","東京メトロ千代田線"
"東京都","有明","新交通ゆりかもめ"
"東京都","稲荷町","東京メトロ銀座線"
"東京都","入谷","東京メトロ日比谷線"
"東京都","牛田","東武伊勢崎線"
"東京都","御嶽","JR青梅線"
"東京都","大手町","東京メトロ東西線 / 東京メトロ丸ノ内線 / 東京メトロ千代田線 / 東京メトロ半蔵門線 / 都営三田線"
"東京都","大山","東武東上本線"
"東京都","春日","都営三田線 / 都営大江戸線"
"東京都","菊川","都営新宿線"
"東京都","京橋","東京メトロ銀座線"
"東京都","江北","日暮里・舎人ライナー"
"東京都","小川","西武国分寺線 / 西武拝島線"
"東京都","小川町","都営新宿線"
"東京都","栄町","都電荒川線"
"東京都","白丸","JR青梅線"
"東京都","新整備場","東京モノレール羽田線"
"東京都","新富町","東京メトロ有楽町線"
"東京都","末広町","東京メトロ銀座線"
"東京都","住吉","都営新宿線 / 東京メトロ半蔵門線"
"東京都","大門","都営大江戸線 / 都営浅草線"
"東京都","高野","日暮里・舎人ライナー"
"東京都","高松","多摩モノレール"
"東京都","田原町","東京メトロ銀座線"
"東京都","長原","東急池上線"
"東京都","日本橋","東京メトロ東西線 / 東京メトロ銀座線 / 都営浅草線"
"東京都","白山","都営三田線"
"東京都","鳩ノ巣","JR青梅線"
"東京都","羽田空港第1ターミナル","東京モノレール羽田線"
"東京都","羽田空港第1・第2ターミナル","京浜急行空港線"
"東京都","羽田空港第2ターミナル","東京モノレール羽田線"
"東京都","府中","京王線"
"東京都","松原","東急世田谷線"
"東京都","三田","都営三田線 / 都営浅草線"
"東京都","緑が丘","東急大井町線"
"東京都","向原","都電荒川線"
"東京都","森下","都営新宿線 / 都営大江戸線"
"東京都","山下","東急世田谷線"
"東京都","若林","東急世田谷線"
"神奈川県","足柄","小田急小田原線"
"神奈川県","生田","小田急小田原線"
"神奈川県","江田","東急田園都市線"
"神奈川県","北山田","グリーンライン"
"神奈川県","黒川","小田急多摩線"
"神奈川県","こどもの国","東急こどもの国線"
"神奈川県","杉田","京浜急行本線"
"神奈川県","大山寺","大山鋼索線"
"神奈川県","高田","グリーンライン"
"神奈川県","高津","東急田園都市線"
"神奈川県","中川","横浜市ブルーライン"
"神奈川県","中田","横浜市ブルーライン"
"神奈川県","長谷","江ノ島電鉄線"
"神奈川県","根岸","JR根岸線"
"神奈川県","橋本","JR横浜線 / 京王相模原線 / JR相模線"
"神奈川県","日吉","東急東横線 / グリーンライン / 相模鉄道・東京急行電鉄"
"神奈川県","藤が丘","東急田園都市線"
"神奈川県","富士見町","湘南モノレール"
"神奈川県","星川","相模鉄道本線"
"神奈川県","大和","相鉄・JR直通線 / 小田急江ノ島線 / 相模鉄道本線"
"新潟県","足滝","JR飯山線"
"新潟県","くびき","北越急行ほくほく線"
"新潟県","新井","妙高はねうまライン"
"新潟県","有間川","日本海ひすいライン"
"新潟県","石地","JR越後線"
"新潟県","今川","JR羽越本線"
"新潟県","岩原スキー場前","JR上越線"
"新潟県","内ヶ巻","JR飯山線"
"新潟県","浦本","日本海ひすいライン"
"新潟県","越後鹿渡","JR飯山線"
"新潟県","越後片貝","JR米坂線"
"新潟県","越後水沢","JR飯山線"
"新潟県","越後寒川","JR羽越本線"
"新潟県","越後下関","JR米坂線"
"新潟県","越後田沢","JR飯山線"
"新潟県","越後中里","JR上越線"
"新潟県","越後早川","JR羽越本線"
"新潟県","青海川","JR信越本線"
"新潟県","大池いこいの森","北越急行ほくほく線"
"新潟県","大白川","JR只見線"
"新潟県","加治","JR羽越本線"
"新潟県","梶屋敷","日本海ひすいライン"
"新潟県","神山","JR羽越本線"
"新潟県","北三条","JR弥彦線"
"新潟県","桐原","JR越後線"
"新潟県","金塚","JR羽越本線"
"新潟県","五十島","JR磐越西線"
"新潟県","小滝","JR大糸線"
"新潟県","咲花","JR磐越西線"
"新潟県","しんざ","北越急行ほくほく線"
"新潟県","親不知","日本海ひすいライン"
"新潟県","谷浜","日本海ひすいライン"
"新潟県","筒石","日本海ひすいライン"
"新潟県","土市","JR飯山線"
"新潟県","東光寺","JR信越本線"
"新潟県","豊実","JR磐越西線"
"新潟県","豊栄","JR白新線"
"新潟県","中浦","JR羽越本線"
"新潟県","西新発田","JR白新線"
"新潟県","根知","JR大糸線"
"新潟県","東新潟","JR白新線"
"新潟県","日出谷","JR磐越西線"
"新潟県","平岩","JR大糸線"
"新潟県","間島","JR羽越本線"
"新潟県","まつだい","北越急行ほくほく線"
"新潟県","三川","JR磐越西線"
"新潟県","美佐島","北越急行ほくほく線"
"新潟県","妙法寺","JR越後線"
"新潟県","妙高高原","北しなの線 / 妙高はねうまライン"
"新潟県","頸城大野","JR大糸線"
"富山県","愛本","富山地方鉄道本線"
"富山県","旭ヶ丘","万葉線高岡軌道線"
"富山県","有峰口","富山地方鉄道立山線"
"富山県","宇奈月温泉","富山地方鉄道本線"
"富山県","浦山","富山地方鉄道本線"
"富山県","越中宮崎","あいの風とやま鉄道線"
"富山県","大町","富山地鉄市内線"
"富山県","下立口","富山地方鉄道本線"
"富山県","黒薙","黒部峡谷鉄道"
"富山県","黒部宇奈月温泉","北陸新幹線"
"富山県","黒部湖","黒部ケーブルカー"
"富山県","黒部平","黒部ケーブルカー"
"富山県","県庁前","富山地鉄市内線"
"富山県","越中山田","JR城端線"
"富山県","栄町","富山地方鉄道不二越線"
"富山県","舌山","富山地方鉄道本線"
"富山県","欅平","黒部峡谷鉄道"
"富山県","鐘釣","黒部峡谷鉄道"
"富山県","新黒部","富山地方鉄道本線"
"富山県","千垣","富山地方鉄道立山線"
"富山県","高岡駅","万葉線高岡軌道線"
"富山県","立山","富山地方鉄道立山線 / 立山ケーブルカー"
"富山県","月岡","富山地方鉄道上滝線"
"富山県","長屋","富山地方鉄道本線"
"富山県","電鉄黒部","富山地方鉄道本線"
"富山県","富山駅","富山地鉄市内線"
"富山県","東石黒","JR城端線"
"富山県","美女平","立山ケーブルカー"
"富山県","越中八尾","JR高山本線"
"富山県","丸の内","富山地鉄市内線"
"富山県","音沢","富山地方鉄道本線"
"富山県","本宮","富山地方鉄道立山線"
"石川県","粟津","IRいしかわ鉄道線"
"石川県","磯部","北陸鉄道浅野川線"
"石川県","西岸","のと鉄道七尾線"
"石川県","能登鹿島","のと鉄道七尾線"
"石川県","能美根上","IRいしかわ鉄道線"
"福井県","青郷","JR小浜線"
"福井県","芦原温泉","北陸新幹線 / ハピラインふくい線"
"福井県","あわら湯のまち","えちぜん鉄道三国芦原線"
"福井県","牛ノ谷","ハピラインふくい線"
"福井県","越前薬師","JR越美北線"
"福井県","越前大宮","JR越美北線"
"福井県","越前下山","JR越美北線"
"福井県","越前竹原","えちぜん鉄道勝山永平寺線"
"福井県","越前たけふ","北陸新幹線"
"福井県","王子保","ハピラインふくい線"
"福井県","番田","えちぜん鉄道三国芦原線"
"福井県","加斗","JR小浜線"
"福井県","勝原","JR越美北線"
"福井県","北鯖江","ハピラインふくい線"
"福井県","九頭竜湖","JR越美北線"
"福井県","小和清水","JR越美北線"
"福井県","サンドーム西","福井鉄道福武線"
"福井県","山王","えちぜん鉄道勝山永平寺線"
"福井県","小舟渡","えちぜん鉄道勝山永平寺線"
"福井県","スポーツ公園","福井鉄道福武線"
"福井県","たけふ新","福井鉄道福武線"
"福井県","西鯖江","福井鉄道福武線"
"福井県","西山公園","福井鉄道福武線"
"福井県","計石","JR越美北線"
"福井県","発坂","えちぜん鉄道勝山永平寺線"
"福井県","比島","えちぜん鉄道勝山永平寺線"
"福井県","東美浜","JR小浜線"
"福井県","福井駅","福井鉄道福武線"
